"No.","Time","Source","Destination","Protocol","Length","Info","...o"
"1595","6.935354292","127.0.0.1","127.0.0.1","UDP","76","55793  >  80 Len=32","6.935354292"
"1596","6.935361973","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","6.935361973"
"1597","6.935362193","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","6.935362193"
"1598","6.943983162","127.0.0.1","127.0.0.1","UDP","76","46125  >  80 Len=32","6.943983162"
"1599","6.943992410","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","6.943992410"
"1600","6.946954007","127.0.0.1","127.0.0.1","UDP","76","43046  >  80 Len=32","6.946954007"
"1601","6.946958445","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","6.946958445"
"1602","6.946961029","127.0.0.1","127.0.0.1","UDP","76","51540  >  80 Len=32","6.946961029"
"1603","6.946966465","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","6.946966465"
"1604","6.950906460","127.0.0.1","127.0.0.1","UDP","76","55793  >  80 Len=32","6.950906460"
"1605","6.950912269","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","6.950912269"
"1606","6.950912284","127.0.0.1","127.0.0.1","UDP","76","45490  >  80 Len=32","6.950912284"
"1607","6.950917607","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","6.950917607"
"1608","6.960019649","127.0.0.1","127.0.0.1","UDP","76","46125  >  80 Len=32","6.960019649"
"1609","6.960029560","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","6.960029560"
"1610","6.962823680","127.0.0.1","127.0.0.1","UDP","76","51540  >  80 Len=32","6.962823680"
"1611","6.962829320","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","6.962829320"
"1612","6.962853261","127.0.0.1","127.0.0.1","UDP","76","43046  >  80 Len=32","6.962853261"
"1613","6.962855955","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","6.962855955"
"1614","6.966092064","127.0.0.1","127.0.0.1","UDP","76","55793  >  80 Len=32","6.966092064"
"1615","6.966097409","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","6.966097409"
"1616","6.966143326","127.0.0.1","127.0.0.1","UDP","76","45490  >  80 Len=32","6.966143326"
"1617","6.966148004","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","6.966148004"
