"No.","Time","Source","Destination","Protocol","Length","Info","information","Src addr(resolved)","Src addr(unresolved)","Net  addr"
"3667","4.865020753","127.0.0.1","127.0.0.1","UDP","76","59630  >  80 Len=32","59630  >  80 Len=32","127.0.0.1","127.0.0.1","127.0.0.1"
"3668","4.865032518","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","Destination unreachable (Port unreachable)","127.0.0.1","127.0.0.1","127.0.0.1"
"3669","4.865061797","127.0.0.1","127.0.0.1","UDP","76","51278  >  80 Len=32","51278  >  80 Len=32","127.0.0.1","127.0.0.1","127.0.0.1"
"3670","4.865064752","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","Destination unreachable (Port unreachable)","127.0.0.1","127.0.0.1","127.0.0.1"
"3671","4.865079863","127.0.0.1","127.0.0.1","UDP","76","56334  >  80 Len=32","56334  >  80 Len=32","127.0.0.1","127.0.0.1","127.0.0.1"
"3672","4.865082268","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","Destination unreachable (Port unreachable)","127.0.0.1","127.0.0.1","127.0.0.1"
"3673","4.867127010","127.0.0.1","127.0.0.1","UDP","76","34121  >  80 Len=32","34121  >  80 Len=32","127.0.0.1","127.0.0.1","127.0.0.1"
"3674","4.867147535","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","Destination unreachable (Port unreachable)","127.0.0.1","127.0.0.1","127.0.0.1"
"3675","4.867981317","127.0.0.1","127.0.0.1","UDP","76","51278  >  80 Len=32","51278  >  80 Len=32","127.0.0.1","127.0.0.1","127.0.0.1"
"3676","4.867986300","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","Destination unreachable (Port unreachable)","127.0.0.1","127.0.0.1","127.0.0.1"
"3677","4.868002636","127.0.0.1","127.0.0.1","UDP","76","59630  >  80 Len=32","59630  >  80 Len=32","127.0.0.1","127.0.0.1","127.0.0.1"
"3678","4.868004918","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","Destination unreachable (Port unreachable)","127.0.0.1","127.0.0.1","127.0.0.1"
"3679","4.868016286","127.0.0.1","127.0.0.1","UDP","76","56334  >  80 Len=32","56334  >  80 Len=32","127.0.0.1","127.0.0.1","127.0.0.1"
"3680","4.868018228","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","Destination unreachable (Port unreachable)","127.0.0.1","127.0.0.1","127.0.0.1"
"3681","4.869550841","127.0.0.1","127.0.0.1","UDP","76","34121  >  80 Len=32","34121  >  80 Len=32","127.0.0.1","127.0.0.1","127.0.0.1"
"3682","4.869555731","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","Destination unreachable (Port unreachable)","127.0.0.1","127.0.0.1","127.0.0.1"
"3683","4.870078090","127.0.0.1","127.0.0.1","TCP","69","49556  >  35813 [PSH, ACK] Seq=123 Ack=1 Win=512 Len=1 TSval=311227001 TSecr=311226993","49556  >  35813 [PSH, ACK] Seq=123 Ack=1 Win=512 Len=1 TSval=311227001 TSecr=311226993","127.0.0.1","127.0.0.1","127.0.0.1"
"3684","4.870083110","127.0.0.1","127.0.0.1","TCP","68","35813  >  49556 [ACK] Seq=1 Ack=124 Win=512 Len=0 TSval=311227001 TSecr=311227001","35813  >  49556 [ACK] Seq=1 Ack=124 Win=512 Len=0 TSval=311227001 TSecr=311227001","127.0.0.1","127.0.0.1","127.0.0.1"
"3685","4.871582773","127.0.0.1","127.0.0.1","UDP","76","51278  >  80 Len=32","51278  >  80 Len=32","127.0.0.1","127.0.0.1","127.0.0.1"
"3686","4.871610182","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","Destination unreachable (Port unreachable)","127.0.0.1","127.0.0.1","127.0.0.1"
"3687","4.871636863","127.0.0.1","127.0.0.1","UDP","76","59630  >  80 Len=32","59630  >  80 Len=32","127.0.0.1","127.0.0.1","127.0.0.1"
